wavenumber;PC1
1082,041;-0,029653214
1080,112;-0,031760966
1078,184;-0,033393279
1076,255;-0,034745376
1074,326;-0,035805592
1072,397;-0,036604109
1070,468;-0,037387785
1068,54;-0,038407709
1066,611;-0,039733626
1064,682;-0,041119471
1062,753;-0,042361751
1060,825;-0,043596346
1058,896;-0,044897396
1056,967;-0,046182459
1055,038;-0,047495337
1053,109;-0,048738179
1051,181;-0,0496201
1049,252;-0,05001227
1047,323;-0,049840982
1045,394;-0,049310539
1043,466;-0,048912474
1041,537;-0,048838095
1039,608;-0,049168805
1037,679;-0,050014579
1035,751;-0,051208167
1033,822;-0,052552585
1031,893;-0,054167698
1029,964;-0,056186773
1028,035;-0,058231369
1026,107;-0,059701531
1024,178;-0,060477561
1022,249;-0,060798787
1020,32;-0,060916824
1018,392;-0,061086292
1016,463;-0,061326636
1014,534;-0,061469103
1012,605;-0,061409485
1010,676;-0,06088818
1008,748;-0,059499016
1006,819;-0,05704373
1004,89;-0,053630003
1002,961;-0,049613408
1001,033;-0,04559835
999,104;-0,042107945
997,175;-0,039236519
995,246;-0,03690037
993,318;-0,0351684
991,389;-0,034172096
989,46;-0,033836494
987,531;-0,03392231
985,602;-0,034304047
983,674;-0,035000974
981,745;-0,035880283
979,816;-0,036539026
977,887;-0,036719659
975,959;-0,036466225
974,03;-0,035863577
972,101;-0,03518791
970,172;-0,034880786
968,244;-0,034972241
966,315;-0,035079468
964,386;-0,034804156
962,457;-0,033785025
960,528;-0,031924041
958,6;-0,029554247
956,671;-0,027125907
954,742;-0,024967862
952,813;-0,023271311
950,885;-0,022106929
948,956;-0,021367388
947,027;-0,02079078
945,098;-0,020255185
943,169;-0,019911404
941,241;-0,019877036
939,312;-0,020068507
937,383;-0,020375819
935,454;-0,020715277
